City,Country
Paris 09,France
Villa Dolores,Argentina
Jinka,Ethiopia
Lipnica,Poland
Neftekamsk,Russia
Velká Dobrá,Czech Republic
Oljoq,China
Margita,Serbia
Pedro Carbo,Ecuador
Suwaru,Indonesia
Chuoyuan,China
El Hamma,Tunisia
Pho Si Suwan,Thailand
Shaowu,China
Calamba,Philippines
Daxi,China
Oropéndolas,Honduras
Luntas,Indonesia
Hemudu,China
Puolanka,Finland
Santa Catarina Ixtahuacán,Guatemala
Walakeri,Indonesia
Ad Dīs ash Sharqīyah,Yemen
Biltine,Chad
Fucun,China
San Juan Nepomuceno,Colombia
Châteaurenard,France
Drawsko,Poland
Valladolid,Spain
Mzimba,Malawi
Icó,Brazil
Al Madān,Yemen
Jendouba,Tunisia
Thívai,Greece
Banyo,Cameroon
Sal’sk,Russia
Gračac,Croatia
Sanjiazi,China
Paris 08,France
Rettikhovka,Russia
Yarumela,Honduras
Doetinchem,Netherlands
Annecy,France
Perelyub,Russia
Užice,Serbia
Penza,Russia
Gimbi,Ethiopia
Heting,China
Santa Valha,Portugal
Al Khānkah,Egypt
Kandete,Tanzania
Pakham,Thailand
Catarina,Nicaragua
Enschede,Netherlands
Badu,China
Yanhe,China
Lāmerd,Iran
Huangbu,China
Lushnjë,Albania
Cestas,France
Zlonice,Czech Republic
Baojia,China
Santai,China
Lomé,Togo
Maceda,Portugal
San José de Barlovento,Venezuela
Suka Makmue,Indonesia
Pengilon,Indonesia
Natividade,Brazil
Orichi,Russia
Shouzhan,China
Guocun,China
Jianfeng,China
Champaign,United States
Lindome,Sweden
Sedkyrkeshch,Russia
Birmingham,United Kingdom
Oslo,Norway
Calibungan,Philippines
Hongdu,China
Corvite,Portugal
Huatanshan,China
Sukhobezvodnoye,Russia
Mariana,Brazil
Serra Negra,Brazil
Ketangi,Indonesia
Wenchang,China
Babakanloa,Indonesia
Créteil,France
Kapunduk,Indonesia
Ariguaní,Colombia
Tân Hiệp,Vietnam
Tierra y Libertad,Mexico
Al Ḩusayn,Yemen
Tofol,Micronesia
Bungursari,Indonesia
Middelburg,South Africa
Mīāndoāb,Iran
Tatarsk,Russia
Sabhā,Libya
Bremen,Germany
Cachan,France
Uglich,Russia
Skerries,Ireland
Datong,China
Labrador City,Canada
Muzhou,China
Champigny-sur-Marne,France
Changping,China
Ilha de Moçambique,Mozambique
Mijiang,China
Qila Saifullāh,Pakistan
Secunda,South Africa
Kissidougou,Guinea
Florianópolis,Brazil
Áyioi Apóstoloi,Greece
Mouhijärvi,Finland
Tours,France
Reiko,South Korea
Kréstena,Greece
Cartago,Colombia
Zhongxin,China
Buriti Alegre,Brazil
Pereira,Portugal
Batelov,Czech Republic
Lesichevo,Bulgaria
Sułoszowa,Poland
Boa Vista,Brazil
Chifeng,China
Peremyshl’,Russia
Kumba,Cameroon
Aleksandrovac,Serbia
Guanjiabao,China
Yangzhuang,China
Lishui,China
Sopla,Indonesia
Yashiro,Japan
Saint-Denis,France
Gondifelos,Portugal
Storvreta,Sweden
Nedašov,Czech Republic
Reutlingen,Germany
Luyang,China
Chiara,Peru
Le Cannet,France
La Romana,Dominican Republic
Timiryazevskiy,Russia
Benito Juarez,Mexico
Gongxi,China
Kolomyya,Ukraine
Burla,Russia
Pyatigorsk,Russia
Corticeiro de Baixo,Portugal
Retiro,Argentina
Kafir Qala,Afghanistan
Nueve de Julio,Argentina
Ciladaeun,Indonesia
Nuuk,Greenland
Joconal,Honduras
Mondoteko,Indonesia
Bellavista,Mexico
Santo Niño,Philippines
Würzburg,Germany
Qarāwat Banī Zayd,Palestinian Territory
Las Lomas,Panama
Langsepan,Indonesia
Beiping,China
Novomoskovsk,Russia
Shajing,China
Yaita,Japan
Xiangtan,China
Kendung Timur,Indonesia
Sarana,Russia
Khromtau,Kazakhstan
Huangliu,China
Meruge,Portugal
Naviraí,Brazil
Hongjiaguan,China
Buchou,China
Ornontowice,Poland
Satka,Russia
Sumberpucung,Indonesia
Kwakoa,Tanzania
Akademicheskoe,Russia
Kamenné Žehrovice,Czech Republic
Zimmi,Sierra Leone
Alverca do Ribatejo,Portugal
Pakuncen,Indonesia
Al Mazra‘ah ash Sharqīyah,Palestinian Territory
Jiru,China
Cimo de Vila,Portugal
Bol’shoy Kamen’,Russia
Xianghuaqiao,China
Gaoyang,China
El Paso,United States
Johanneshov,Sweden
Itoman,Japan
Wolanów,Poland
Danderyd,Sweden
Altunemil,China
Ipirá,Brazil
Carandaí,Brazil
Paraíso,Portugal
Ica,Peru
Guatraché,Argentina
Enköping,Sweden
Jiqu,China
Cikandang,Indonesia
Vyškov,Czech Republic
Ansongo,Mali
Urus-Martan,Russia
Yangdian,China
Havtsal,Mongolia
Huimin,China
Gulai,China
Zongluzui,China
Ea Drăng,Vietnam
Panyuran,Indonesia
Zhongshangang,China
Torres Novas,Portugal
Gampengrejo,Indonesia
Orerokpe,Nigeria
Perstorp,Sweden
Ekerö,Sweden
Skien,Norway
Pirca,Peru
Capitán Bermúdez,Argentina
Areguá,Paraguay
Warungsugan,Indonesia
Tagawa,Japan
Gammad,Philippines
Jiulong,China
Odrinhas,Portugal
Shemursha,Russia
Burūm,Yemen
Kendung Timur,Indonesia
Stockholm,Sweden
Tangjian,China
Croix,France
Gore,New Zealand
Chiriguaná,Colombia
Huangma,China
Sigu,China
Malayal,Philippines
Kokubu-matsuki,Japan
Chenfang,China
Tampa,United States
Örebro,Sweden
Várzea,Portugal
Masape,Indonesia
Panjerrejo,Indonesia
Thị Trấn Mỹ Lộc,Vietnam
Rakiv Lis,Ukraine
Ewarton,Jamaica
Doctor Juan León Mallorquín,Paraguay
Agana Heights Village,Guam
Allada,Benin
Aş Şūrah aş Şaghīrah,Syria
Catujal Velho,Portugal
Itararé,Brazil
Stare Pole,Poland
Taoshan,China
Herrljunga,Sweden
Trmice,Czech Republic
Padangtepung,Indonesia
Marintoc,Philippines
Kajan,Albania
Santa Monica,Philippines
Dnipryany,Ukraine
Wysokie Mazowieckie,Poland
Kerek,Indonesia
Protvino,Russia
Gyangqai,China
El Alamo,Mexico
Prokhorovka,Russia
San Rafael,Peru
Tiyuguan,China
Borås,Sweden
Chełm,Poland
Damu,China
Kisanga,Tanzania
Pavlohrad,Ukraine
Beringin,Indonesia
Lyuban’,Russia
Abuxarda,Portugal
Jocotenango,Guatemala
Freiburg im Breisgau,Germany
Vukovije Donje,Bosnia and Herzegovina
Estaca,Philippines
Dinititi,Indonesia
Mariestad,Sweden
Vanderhoof,Canada
Chust Shahri,Uzbekistan
Diyarb Najm,Egypt
Hejiadong,China
Guwoterus,Indonesia
Potchefstroom,South Africa
Yamen,China
Sukamulia,Indonesia
Montpellier,France
Punkaharju,Finland
Paris La Défense,France
Pitai,Indonesia
Tazhuang,China
Weekaka,Indonesia
Sanyang,China
Fatukanutu,Indonesia
Serra da Silveira,Portugal
Khirdalan,Azerbaijan
Infanta,Philippines
Ust’-Dzheguta,Russia
Douane,Tunisia
Comrat,Moldova
Mullsjö,Sweden
Parnaíba,Brazil
Aveleda,Portugal
Kirgili,Uzbekistan
Tammela,Finland
Lazaro Cardenas,Mexico
Zuocun,China
Ukrainka,Ukraine
Fleury-les-Aubrais,France
Drakhtik,Armenia
Le Teil,France
Songhu,China
Wangdun,China
Colcabamba,Peru
Almere Haven,Netherlands
Waina,China
Salcedo,Philippines
Quinta da Queimada,Portugal
Xinshancun,China
Turgenevo,Russia
Comagascas,Philippines
Bunawan,Philippines
Long Hồ,Vietnam
Balbalan,Philippines
Santa Rosa,Peru
Yanggan,China
Pyhäjoki,Finland
Koíla,Greece
Asmara,Eritrea
Heyou,China
Bagombong,Philippines
Tiaodeng,China
Stockholm,Sweden
Fengyang Fuchengzhen,China
San Antonio Oeste,Argentina
Fraile Pintado,Argentina
Tempursari Wetan,Indonesia
Hingatungan,Philippines
Lebane,Serbia
Houston,United States
Falun,Sweden
La Rioja,Argentina
Xinpu,China
Longquan,China
Yashalta,Russia
Tha Ruea,Thailand
Crasto,Portugal
Xiangzhou,China
Ōzu,Japan
Panzhuang,China
Xiangtan,China
Oslo,Norway
Fonte de Angeão,Portugal
Aleksandrovka,Ukraine
Shanshi,China
Haapajärvi,Finland
Chengmen,China
Immātīn,Palestinian Territory
Baran,Indonesia
Kimch’aek-si,North Korea
Lucapa,Angola
Aktau,Kazakhstan
Badagry,Nigeria
Tuchengzi,China
Kanekomachi,Japan
Tierralta,Colombia
Naushahro Fīroz,Pakistan
Oslo,Norway
Huayucachi,Peru
Salacgrīva,Latvia
Brooklyn,United States
Sabugo,Portugal
Machida,Japan
Shuakhevi,Georgia
Muzhijie,China
Zelenograd,Russia
Šentjur,Slovenia
Phan Rang-Tháp Chàm,Vietnam
Täby,Sweden
Mauren,Liechtenstein
